Products,Health & Beauty,Electronics,Books,Groceries,Home & Kitchen
Wayona Usb C 65W Fast Charging Cable Compatible For Tablets Samsung S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M...,0.02,0.9,0.01,0.02,0.05
Arrow Men Dark Grey Vertical Stripe Dobby Formal Shirt,0.1,0.6,0.1,0.1,0.1
"RIMEZS Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's",0.85,0.05,0.02,0.03,0.05.
Noty Girl's Satin Solid Night Suit Set Pack of 1,0.05,0.02,0.01,0.02,0.9
MR Master Blend Coffee (Brazilian Roast) 200 grams x 2 Pouches = 400 grams,0.03,0.01,0.01,0.9,0.05
BODYCARE Women's Camisole,0.8,0.1,0.05,0.02,0.03
TP-Link Archer T4U Plus MU-MIMO USB 3.0 Wi-Fi Dongle AC1300 Wireless Dual Band WiFi Adapter with High-Gain Antennas for PC...,0.005,0.95,0.005,0.01,0.03
"MKF Kitchen's Chimney Cassette Filter (320 X 260 MM) - Standard, 2 Pcs (320 * 260 * 52 mm)",0.01,0.03,0.005,0.005,0.95
URBAN PENDU Sidhu Moosewala Legend Text Printed Casual Wear Men (White) Regular Size,0.1,0.05,0.05,0.2,0.6
"SKY TOUCH Wireless Earbuds pro with Power Bank Charge Your Phone, Upto 220 Hours Total Playback (Charging case Backup) tim...",0.004,0.95,0.005,0.01,0.03
ALCiS Women's Solid Slim Fit Tights,0.8,0.05,0.03,0.02,0.1
"SYSKA Iron Press | 2-Year Warranty | Iron Box | Dry Iron, Electric Press, Electric Iron Press for Clothes, SDI-08 1000W Mu...",0.05,0.8,0.02,0.03,0.1
"Divs Edenic Girl's and Boy's Polycarbonate Cartoon 18 inch Spider Men Suitcase/Trolley Bag, Blue",0.1,0.05,0.025,0.025,0.8
Fashiol Women's Medium Support Cross Back Wirefree Removable Cups Yoga Sport Bra (Free Size) Fit Form 34 Till 38 (Grey),0.9,0.05,0.01,0.02,0.02
Clara Made with Swarovski Zirconia BIS Hallmarked 92.5 Sterling Silver Platinum Plated Mia Solitaire Earring Gift For Wome...,0.1,0.05,0.1,0.05,0.7
"Rich Care Forever Together Eternal in-Ear Wired Headphones with in-line Mic, Powerful Driver for Stereo Audio, Noise Cance...",0.1,0.8,0.05,0.025,0.025
"pdpm evolove Women Cotton Nighty Gown, Black",0.9,0.03,0.01,0.03,0.03
Safety Net 4K WiFi Night Vision Holder HD Mini cam 1080p HD Audio Video Recording Watch Live 24 Hours Small Surveillance S...,0.02,0.85,0.01,0.02,0.1
"munaafi Clear Boob Tape, Boobytape for Breast Lift, Transparent Push Up Tape",0.8,0.03,0.02,0.05,0.1
Pappi-Haunt Brown Leather Strap Analogue Movable Beads Designer Bracelet Jewellery Fashion Analog & Black Silicone Led Dig...,0.6,0.2,0.05,0.1,0.05
Ports Grey Nylon Lace up Shoes for Boys_,0.1,0.1,0.1,0.3,0.4
Kamron 32 inch 80cm 5 in 1 Reflector Silver Gold White and Black Collapsible Reflector for Studio Or Any Photography Situa...,0.01,0.05,0.02,0.02,0.9
Adidas Mens Furio Lite M Running Shoes,0.1,0.8,0.05,0.02,0.03
THE HOUSE OF DIAMONDS 18k (750) Rose Gold and Diamond Sunflower Studs Stud Earrings for Women,0.15,0.05,0.1,0.05,0.65
5 grams pure silver coin lakshmi g pure silver coin laxmi ganesh Bis Hallmark 999 fine Silver Coin . 5gm coin lakshmi gane...,0.05,0.1,0.15,0.55,0.15
Alpha Nemesis Casual School Backpack/College Bag For Kids Made With Waterproof polyester 15 Ltrs Red Black Casual Backpack,0.015,0.07,0.005,0.01,0.9
Van Heusen Men's Track Pants,0.05,0.2,0.1,0.6,0.05
"ADDIOX Lightweight Shoes Casual Sneaker for Men's & Boy's,",0.15,0.25,0.1,0.05,0.45
PALAY® Ladies Purse Women's Wallet with Multiple Card Slots PU Leather Long Wallet Card Holders Wallet Zipper Pocket Coin ...,0.1,0.3,0.2,0.05,0.35
KSB Enterprises Women's Cotton Lightly Padded Non-Wired Half Cup Bra with Panty Set | Bra Panty Set for Women | Cotton Bra...,0.8,0.1,0.05,0.01,0.04
VIKCLIQUE Half Sleeve Round Neck Black or Blue T-Shirt for Men's/Boy's,0.01,0.2,0.01,0.03,0.75
Avsar Real Gold 14K RING AVR407YB,0.1,0.05,0.05,0.1,0.7
INDO ERA Women's Cotton Straight Kurta,0.1,0.05,0.02,0.03,0.8
"AmazonBasics microSDHC Memory Card with Full Size Adapter, A1, U1, Read Speed up to 98 MB/s, 32GB",0.025,0.9,0.015,0.03,0.05
Fashion2wear Rayon Regular Printed Jumpsuit For Women & Girls,0.1,0.02,0.03,0.05,0.8
SOURBH Women's Chiffon Batik Style Border-Palav Printed Saree with Blouse Piece,0.1,0.05,0.05,0.2,0.6
"Thrifty Tech 4 MP IP with Audio, Wired Day/Night 24 Hour Full Color Bullet Camera Full HD Weatherproof Bullet CCTV Surveil...",0.01,0.95,0.01,0.01,0.02
Anuj Sales A+ Quality Astrological Australian Fire Opal Stone 9.25 Ratti / 8.50 Ct. Lab-Certified Natural Fire Opal Stone ...,0.1,0.3,0.05,0.2,0.35
Amazon Brand - Inkast Denim Co. Men's Slim Fit,0.03,0.2,0.02,0.05,0.7
"Microbot-Micro SD Storage Board, Micro SD TF Card Memory Shield Module SPI, Micro SD Adapter for Arduino",0.01,0.9,0.02,0.02,0.05
Schmick Mobile Sling Bag Crossbody Sling Bag for Women Girls (Indigo Fabric),0.03,0.1,0.02,0.05,0.8
Rhysley Men's Grey Slim Fit Denim Jeans with Stretchable Cotton Mid-Rise with Comfort Fit and High Performance for Everyda...,0.15,0.02,0.01,0.02,0.8
infloura Formal Analog Watch for Girls- Stylish Casual Analogue Wrist Watches(Multi Color),0.1,0.1,0.05,0.05,0.7
Sansui 60 cm (24 Inches) HD Ready LED TV JSY24NSHD (Black),0,1,0,0,0
"Makeup Sponge Set Beauty Blender with Egg Case, Soft Sponge For Liquid Foundation, Creams, and Powders, Latex Free Wet and...",0.9,0.05,0.02,0.01,0.02
Jaquline USA Lipstick Lip Locked 10 (Matte),0.8,0.05,0.03,0.02,0.1
"JNKC Smarthome Wireless Outdoor 3G/4G Sim Camera with 12MP, Full Color Night Vision, Motion Detection, 2-Way intercom, Wea...",0.004,0.95,0.001,0.005,0.04
SNISHET Hot Release Women's Chanderi Cotton Embroidery Work Unstitched Salwar Suit Dress Material With Naznin Work Dupatta...,0.1,0.3,0.05,0.1,0.45
M5 Fashion Tote Purses and Handbags Women Handbags Top Handle Shoulder Bag 4pcs Set,0.03,0.1,0.02,0.05,0.8
Helios Pack of 3 Shoe Shine On For All Type of Leather,0.8,0.02,0.05,0.03,0.1
Parx Medium Blue Shirts,0.2,0.3,0.1,0.2,0.2
Aldo Mens Bowtie001 Platform,0.05,0.02,0.02,0.01,0.9
Adidas Men's Toril 1.0 M Running Shoes,0.1,0.05,0.02,0.8,0.03
UNDELOOP FINE Vest/Cotton Vest/FINE RN Vest/Sleeveless Vest for Men and Boys,0.2,0.3,0.1,0.2,0.2
BULLAR Home Gym Set (8-30) kg Home Gym Combo with Curl Rod and Pair of Dumbbell Rods Gym Equipment for Men and Exercise Ac...,0.1,0.03,0.02,0.05,0.8
BISMAADH Unisex Spandex Bandana,0.8,0.05,0.05,0.05,0.05
J B Fashion Tops for Women | Tops for Women Tops for Women Stylish | top for Girls | top for Women Stylish Latest (J-517),0.2,0.3,0.1,0.2,0.2
Levi's Men Briefs,0.2,0.1,0.1,0.3,0.3
PKYC Women's Pinkish Peach Satin A Line Saree Petticoat (50),0.02,0.01,0.02,0.05,0.9
Laxmi Enterprises Flower Maang Tikka for Wedding | Baby Shower | Haldi | Mehandi | Party in Yellow-Foam Colour for Girls a...,0.7,0.05,0.05,0.05,0.15
Babymoon Newborn Photography Props Bedsheet Baby Photoshoot Props Costume Baby Props for Photoshoot (Cartoon (Blue)),0.02,0.01,0.01,0.01,0.95
"TERRAVITA Sleep Healthy | Melatonin, Vitamin B6 and Valerian Root Extract for a relaxed mind and restful sleep | In weekly...",0.8,0.03,0.02,0.1,0.05
Adidas Men Kray 3.0 Ms Running Shoes,0.1,0.6,0.05,0.15,0.1
WorldCare® 1pcs Eyes Soft MFishing BaitArtificial Mouses Lures Fishing Tackle Accessories BionicWith : Light Grey,0.1,0.05,0.02,0.8,0.03
Bewakoof Men Iron Man of War Black Round Neck Printed Vest,0.05,0.8,0.05,0.05,0.05
"LUX LYRA Women's Cotton Ankle Length Leggings, Pack of 2 (Black & Pak Green, Free Size)",0.1,0.05,0.05,0.05,0.75
SIRIL Women'S Georgette Saree Combo Pack Of 2 With Unstitched Blouse Piece,0.05,0.03,0.02,0.2,0.7
Vector X Velocity Football Shoes (Black-Silver),0.1,0.7,0.05,0.05,0.1
Ravaiyaa - Attitude is everything,0.7,0.1,0.05,0.1,0.05
AO Smith HeatBot-SZS-025-DG- SILVER Storage 25 Litre Vertical Digital Display Remote Controlled Water Heater (Geyser) Silv...,0.02,0.9,0.01,0.02,0.05
"Nilkamal Laundry Basket Cloth Hamper Cutout Design With Foldable Handle For Washing Bin Dirty Clothes Storage ,Plastic Rac...",0.05,0.03,0.02,0.05,0.85
Radha's Creations golden - gold plated copper long 30 inch Mangalsutra No.877 for women,0.05,0.1,0.15,0.2,0.5
The Souled Store| Official Money Heist: Bella Ciao Mens and Boys Sneakers |Regular fit Graphic Printed|Multicolored Men Hi...,0.1,0.05,0.03,0.02,0.8
SAIYONI Glamorous Design Silver plated Austrian Diamond Choker Necklace Earring with maangtikka jewellery set,0.9,0.05,0.02,0.01,0.02
Ada Hand Embroidered Lucknowi Chikankari Straight Cotton Kurta Kurti for Women A133488,0.04,0.05,0.03,0.03,0.85
deeplax Stainless steels Square bathrooms Towel Holder/Rod/Stand/Hanger/Rail/bar/Robe/Rack/Bathroom Accessories/Chrome Fin...,0.01,0.02,0.01,0.01,0.95
Freshfoot Cute and Colorful Organic Anti-Skid Cotton Ankle socks for new born baby combo set (0-6 Months),0.9,0.05,0.01,0.03,0.01
Qingyuan Handheld Underwater Pulse Dive Metal Detector 2 in 1 Underwater Detector Pinpointer Portable Detector IP68 Waterp...,0.005,0.95,0.005,0.01,0.03
BLUENCE Stitchless Polo Neck T-Shirt for Men,0.05,0.6,0.2,0.1,0.05
"Bhayani RC Stunt Car, 2.4GHz 4WD Remote Control Gesture Sensor Toy, Double Sided Rotating Off Road Vehicle 360° Flips with...",0,0.9,0,0,0.1
"Koparo Natural Cellulose Based Sponge Wipe - Pack of 5 | 100% Bio-degradable, Durable & Lint-Free, Reusable and Washable |...",0.1,0.03,0.02,0.05,0.8
"Thums Up Soft Drink PET Bottle, 1.25 L",0.03,0.01,0.01,0.9,0.05
Nike Men Magistax ONDA II IC White Football Boots-10 UK/India (45EU) (844413-109),0.1,0.3,0.2,0.15,0.25
Liberty Gliders (from Men's Loafers and Moccasins,0.15,0.2,0.25,0.1,0.3
"Tygot Adjustable Aluminium Alloy Tripod Stand Holder for Mobile Phones & Camera, 360 mm -1060 mm (42 Inch), 1/4 inch Screw...",0.02,0.9,0.01,0.02,0.05
Max Women's Printed T-Shirt Bra,0.6,0.1,0.05,0.05,0.2
Door Handle Suitable for IFB Front Loading Washing Machines-,0.02,0.1,0.01,0.02,0.85
PC Jeweller The Fanni 18KT Yellow Gold and Diamond Ring for Women,0.05,0.02,0.02,0.01,0.9
Peter England Men Casual Shirt,0.1,0.05,0.05,0.2,0.6
"Stephen Joseph Kids' Toiletry Bag, RAINBOW",0.8,0.1,0.05,0.02,0.03
Puma Mens Mirage Sport Tech Neon Sneaker,0.1,0.6,0.05,0.1,0.15
Skagen Signatur Analog Gray Dial Women's Watch-SKW2996,0.2,0.6,0.05,0.05,0.1
Mahi with Swarovski Crystals Blue Leaf Rhodium Plated Floral Pendant Set for Women NL1104107RBlu,0.7,0.1,0.05,0.05,0.1
SKYWALL 102 cm (40 inches) Full HD Smart LED TV 40SW-Google (Black),0.01,0.9,0.01,0.03,0.05
The House of Tara Canvas Handloom Fabric Messenger Sling Bag for Men and Women (HTMB 120_Black),0.02,0.05,0.01,0.02,0.9
Caprese Women Faux Leather Maroon Tote Bag,0.05,0.03,0.02,0.1,0.8
"ZEBRONICS Zeb-Juke BAR 9500WS PRO Dolby 5.1 soundbar with Wireless Satellites-Black&Zeb-HAA1520 HDMI Cable Supports 3D, 4...",0.005,0.95,0.005,0.01,0.03
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Steam (SENATOR WSS 8014, Silver, In-built Heater, 4 years Comprehensiv...",0.005,0.03,0.005,0.01,0.95
IndoPrimo Men's Poly Cotton Casual Printed Kurta Shirt,0.1,0.05,0.02,0.03,0.8
EARTHMA Universal Remote Control For Samsung 3D Smart LCD LED Tv - Replacement,0.02,0.9,0.01,0.02,0.05
SPUNN Women's Cotton Blend Light Padded Wire Free Everyday Bra Combo,0.75,0.05,0.05,0.1,0.05
Glocal Bear Velvet Pre-School Bag Pink | Velvet Bags for playgroup and Kindergarten Kids,0.15,0.05,0.1,0.7,0
Avsar 18K (750) Diamond Earring AVE372YA,0.12,0.7,0.03,0.05,0.1
(0134) Milan Jewellers BIS HALLMARKED 99.5% Fine Silver Certified Ganesha Rakhi (Red),0.05%,0.02%,0.02%,0.01%,0.90%
"Woodcraft Original Pinewood in Different Size for Art Craft Project, Easy to use (30cm x 2cm x .7cm Thickness)",0.02,0.005,0.005,0.03,0.95
Helly Fashion Women's Japan Satin Silk Saree with Digital Print Blouse,0.01,0.02,0.01,0.01,0.95
"Head HBS-1090 Polyester Badminton Shorts, Medium (White)",0.85,0.02,0.01,0.03,0.09
"Cotton Silk Reusable Designer Function Face Mask for Marriage , Wedding, Party, Casual, Safety Protection, Free size (Mult...",0.8,0.1,0.05,0.02,0.03
Caprese NOVO women's Sling Bag (PINK),0.05,0.02,0.03,0.1,0.8
"SAAGAS Vinyl Yoga Mat for gym Workout and yoga exercise with 4mm thickness, 6 × 2 Feet, Anti-skid thick yoga and exercise ...",0.8,0.1,0.05,0.02,0.03
"JetFire Ibex College Cricket Wicket Keeping Gloves Combo with Inner Cotton Gloves (Men, Green)",0.05,0.05,0.05,0.05,0.8
NEUTRON Rich Analog Red and Pink Color Dial Women Watch - GM384-GM218 (Pack of 2),0.15,0.02,0.01,0.02,0.8
WorldCare® 6pcs/Set Carp Fishing Link Hair Rig Ready Tied Steel Fishings Useful Tools for Outdoor Fishing : 4,0.05,0.25,0.45,0.1,0.15
Marks & Spencer 3pk Pure Cotton Woven Boxers,0.05,0.03,0.02,0.1,0.8
Veirdo® Marvel Iron Man Saga Original Marvel Printed Original Half Sleeves T-Shirt for Men Red,0.25,0.2,0.15,0.3,0.1
"AUN AKEY9S Full HD 1080p Projector || AKEY9s Pro Projector with USB,AV etc Connectivity (Black)",0.005,0.95,0.005,0.01,0.03
MYKI Stylish Leather Infinity Bracelet,0.3,0.15,0.05,0.1,0.4
PC Jeweller The Cormac 22k (916) yellow-gold Ring for Women,0.1,0.05,0.02,0.03,0.8
"BRUTON Shoes for Trendy, Casual, Running, Exclusive Shoes for Men",0.05,0.2,0.1,0.15,0.5
"American Tourister Pixie Micro Twill Unisex Laptop Backpack (Blue, Frsz)",0.03,0.75,0.02,0.05,0.15
JIM HALO Polarized Sports Sunglasses Mirror Wrap Around Driving Fishing Men Women,0.05,0.8,0.03,0.01,0.11
Puma Mens Swing Slipon Running Shoe,0.35,0.15,0.05,0.25,0.2
"Safari ARC Polyester 65 cms Blue Travel Duffle (ARC65RLBLU), Medium",0.02,0.1,0.05,0.03,0.8
CAVALLO by Linen Club Yellow Checked Regular Fit Casual Shirt,0.1,0.2,0.1,0.4,0.2
AVSAR 18k (750) White Gold and Diamond Ring for Women,0.05,0.03,0.02,0.05,0.85
Outdoors DDSS H. 12'' Base Dia X 12cm Wall Depth Wall Hanging Fish Bowl (NOT Glass) 12 Inch White: Acrylic Wall Mounted Pl...,0.05,0.015,0.01,0.025,0.9
MOSTOS ; Brings Superior® - 62mm Snap on Lens Cap Compatible with Sony DT 18-135mm f/3.5-5.6 SAM Lens Lens Cap Cover Compa...,0.02,0.8,0.03,0.05,0.1
NAMDEV GEMS 10.00 Ratti Natural Certified Untreated Unheated Stone Emerald/Panna Brazilian Mines Gemstone For Men And Wome...,0.5,0.1,0.2,0.1,0.1
WMK Designer Women's Footwear are Crafted for Modern Women with Latest Blue Casual Sandal for Women,0.75,0.05,0.1,0.05,0.05
Black Office boott,0.15,0.25,0.1,0.2,0.3
Zaveri Pearls Embellished With Stones & Meenakari Jhumki Drops Earring For Women-ZPFK9220,0.15,0.7,0.05,0.05,0.05
Red Chief Mens Formal Shoes Boat Shoe,0.1,0.2,0.05,0.6,0.05
Clear Wallet Glitter Jelly Wallets Transparent Bifold Photocards Holder Lanyard Coin Pouch,0.15,0.05,0.05,0.1,0.65
NAT-Saree Pin/Hijab Pin for Women & Girls (12 pieces),0.8,0.1,0.05,0.02,0.03
Camel Kokuyo Canvas Board - 25cm x 30cm,0.03,0.02,0.05,0.1,0.8
"Nolofy Dummy Fake Security CCTV Dome Camera Simulation Monitor with LED Flashing Light, Outdoor and Indoor Use for Homes &...",0,0.9,0,0,0.1
Sara Enterprises Light Weight Running Shoes for Men,0.1,0.75,0.05,0.05,0.05
D'fine Bass Bullets 225 Heavy Bass in Earphone with Mic + Full Remote + Clip (Black),0.1,0.8,0.05,0.02,0.03
Rulit 220 TC Microfiber Glace Cotton Double Bedsheet with 2 Pillow Covers Queen Size Black Smile Yellow Pattern Bedsheet,0.025,0.01,0.005,0.02,0.95
LANCER Mens Active-114 Sports Shoes,0.05,0.1,0.05,0.8,0
GoSriKi Women's Crepe Straight Kurta,0.1,0.05,0.1,0.05,0.7
Mochi Women Black Synthetic Sandals (34-9993-11-38) Size (5 UK (38 EU)),0.05,0.25,0.1,0.4,0.2
BODYCARE Women Heavy Padded T-Shirt Bra(Pack of 1),0.8,0.1,0.05,0.02,0.03
m mhb SPY Wrist Watch Hidden Audio/Video Recording. While Recording no Light Flashes. Leather Wrist Watch Camera Inbuilt 1...,0.03,0.9,0.005,0.015,0.05
ETUZI Silicone Protective Remote Cover for LG Smart TV AN-MR21 / MR21GA Remote Case for LG OLED TV Magic Remote(2021) with...,0.01,0.95,0.005,0.005,0.03
"Gold Look Women's Silicone Heavily Padded Wire Free Seamless Bra (bra backless black_Skin Color, Black_24B)",0.8,0.05,0.02,0.03,0.1
"Drools Focus Chunk Adult Super Dog Food, Chicken Flavour, 12kg (+1 kg Free Inside)",0.01,0.005,0.005,0.95,0.03
"FOLX FMS1210 Metal Stainless Steel Bands Compatible with Apple Watch Bands, Loop Magnetic Milanese Mesh Strap for iWatch S...",0.03,0.85,0.01,0.01,0.1
SwooK Stonewash Snapback Baseball Cap Caps for Mens Boys Womens Girls Cap Sport Adjustable Cotton Mens Boys Caps,0.1,0.05,0.2,0.05,0.6
"MAHABIR Footmat for Scooter / Scooty Avenis 125, Anti-Slip | Rubber | (Black & Grey)",0.05,0.02,0.01,0.02,0.9
ishin Women's Cotton A-Line Embellished Beads and Stones Striped Print Red Kurti,0.05,0.02,0.03,0.05,0.85
Puma Men Running Shoes,0.3,0.1,0.2,0.1,0.3
EXCLUZO Lightweight Compressed Bag Compression Stuff Sack Outdoor Camping Bag L,0.1,0.4,0.05,0.2,0.25
Satya Paul Navy Silk Tie Pocket Square Set for Men,0.1,0.05,0.02,0.03,0.8
Matlek Bluetooth Earbuds | True Wireless in Ear Earphones with Deep Bass | 16 Hour Battery,0.02,0.95,0.01,0.01,0.01
GIVA 925 Sterling Silver Golden Dangling Heart Earrings| Studs to Gift Women & Girls | With Certificate of Authenticity an...,0.1,0.2,0.1,0.05,0.55
DISHIS18k (750) White Gold Blue Sapphire Ring for Women,0.1,0.05,0.05,0.2,0.6
Colorplus Men's Slim Fit Casual Shirt,0.15,0.1,0.2,0.1,0.45
MUTAQINOTI Men's Black Luxury Patent Leather Handmade Derby Shoes for Men Formal (MQVX),0.02,0.05,0.8,0.03,0.1
"Women's Winter Thermal Thumb Socks, Velvet Socks For Winters Pack of 3 pair Set",0.1,0.025,0.025,0.05,0.8
CHAMRAWALA Stylish Formal Shoes for Men Brown,0.05,0.1,0.7,0.05,0.1
Arrow Men's Slim Shirts,0.03,0.01,0.8,0.01,0.15
"AGARO Esteem Multi Kettle 1.2 Litre, 600W with 3 Heating Modes & Rapid Boil Technology",0.02,0.1,0.01,0.02,0.85
NEUTRON Designer Analog Rose Gold and Silver Color Dial Women Watch - GM392-GX12 (Pack of 2),0.1,0.8,0.05,0.02,0.03
Psonix Earphones with Ultra Bass & Dolby Sound 0.33mm Jack for All Samsung/Anroid/iOS Devices - (White),0.02,0.9,0.01,0.02,0.05
BIBA Women Shirt,0.15,0.25,0.1,0.3,0.2
Cole Haan Men's Grand+ Plain Toe Oxford,0.15,0.05,0.05,0.05,0.7
Goldenize fashion Casual Branded Digital Multifunctional Grey Dial Girl's & Women's Stainless Steel Vintage Dial Watch wit...,0.15,0.25,0.05,0.1,0.45
"VIP Leader Men's Cotton Delux Plain Trunks, DELUX6736_90 (Pack of 4, Assorted Color & Print May Vary, 90 CM)",0.1,0.2,0.05,0.6,0.05
Mansiyaorange Forming Choker Necklace Jewelery/Imitation/Jualry Set/Jwellry Set/Jewellery Set For Women,0.8,0.05,0.03,0.02,0.1
"POONAM ART EXPORTS,WHERE INNOVATION NEVER STOPS Console Table 8",0.01,0.05,0.02,0.02,0.9
Alfaq 3 Trust The Bear Oversized Tshirt | Black Oversized Tshirt | Streetwear Oversized Tshirt | DropShoulder T-Shirt for ...,0.15,0.3,0.1,0.2,0.25
Lee Cooper Analog Black Dial Women's Watch-LC06701.450,0.05,0.1,0.1,0.05,0.7
Handcuffs Women's Cotton Bucket Hat,0.1,0.05,0.03,0.02,0.8
OGENERAL AMGB09BAWA-B WINDOW AC 0.75 TON 5 STAR (White),0.01,0.75,0.01,0.03,0.2
AAYAN BABY Men's Lace Boyshorts,0.05,0.03,0.02,0.85,0.05
FLINGDOM Clip On Earrings - Stunning Gold-Plated Non Piercing Earrings for Women | Handmade Fake Earrings without Piercing...,0.9,0.05,0.01,0.02,0.02
Janasya Women's Blue Cotton Straight Kurta,0.02,0.02,0.01,0.05,0.9
"QPID German Silver Coins 10 Grams Silver Plated for Diwali Gift Items for Men, Women, Staff, Customer, Clients, Corporate ...",0.1,0.03,0.02,0.05,0.8
SWISS BEAUTY make up fixer_SB-16 Primer - 50 ml (TRANSPARENT),0.95,0.02,0.01,0.01,0.01
